Male id,Speaker Side,Movement,Body size(mm),Moved Towards,Moved Away
M131,L,L,10.70,1.00,0.00
,,,,,
,,,,,
M132,L,0,10.90,0.00,0.00
,,,,,
,,,,,
M126,R,0,11.12,0.00,0.00
,,,,,
,,,,,
M140,L,L,9.42,1.00,0.00
,,,,,
,,,,,
M139,R,0,9.39,0.00,0.00
,,,,,
,,,,,
M142,L,0,10.37,0.00,0.00
,,,,,
,,,,,
M138,R,L,9.52,0.00,1.00
,,,,,
,,,,,
M143,R,R,9.15,1.00,0.00
,,,,,
,,,,,
M148,R,R,9.38,1.00,0.00
,,,,,
,,,,,
M141,R,L,8.67,0.00,1.00
,,,,,
,,,,,
M145,R,0,10.50,0.00,0.00
,,,,,
,,,,,
M149,L,0,9.87,0.00,0.00
,,,,,
,,,,,
M150,R,0,8.51,0.00,0.00
,,,,,
,,,,,
M147,R,R/L,10.91,0.00,1.00
,,,,,
,,,,,
M154,R,R/L,9.86,0.00,1.00
,,,,,
,,,,,
M152,L,0,9.41,0.00,0.00
,,,,,
,,,,,
M146,L,0,10.06,0.00,0.00
,,,,,
,,,,,
M153,R,0,10.07,0.00,0.00
,,,,,
,,,,,
M136,L,L,11.36,1.00,0.00
,,,,,
,,,,,
M128,R,0,9.98,0.00,0.00
,,,,,
,,,,,
M133,L,0,11.28,0.00,0.00
,,,,,
,,,,,
M157,L,R,11.75,0.00,1.00
,,,,,
,,,,,
M134,L,L,11.50,1.00,0.00
,,,,,
,,,,,
M135,R,L,10.98,0.00,1.00
,,,,,
,,,,,
M163,R,0,10.70,0.00,0.00
,,,,,
,,,,,
M162,R,L,11.57,0.00,1.00
,,,,,
,,,,,
M160,R,0,11.20,0.00,0.00
,,,,,
,,,,,
M158,R,0,10.97,0.00,0.00
,,,,,
,,,,,
M159,L,L,11.61,1.00,0.00
,,,,,
,,,,,
M170,R,L,9.39,0.00,1.00
,,,,,
,,,,,
M167,L,R,10.39,0.00,1.00
,,,,,
,,,,,
M182,L,R,9.57,0.00,1.00
,,,,,
,,,,,
M164,L,L,10.07,1.00,0.00
,,,,,
,,,,,
M168,L,R,10.06,0.00,1.00
,,,,,
,,,,,
M171,R,R,9.36,1.00,0.00
,,,,,
,,,,,
M173,R,R,11.43,1.00,0.00
,,,,,
,,,,,
M172,R,0,11.13,0.00,0.00
,,,,,
,,,,,
M174,R,R,10.23,1.00,0.00
,,,,,
,,,,,
M175,L,L,10.28,1.00,0.00
,,,,,
,,,,,
M179,R,R,10.64,1.00,0.00
,,,,,
,,,,,
M176,R,0,11.04,0.00,0.00
,,,,,
,,,,,
M177,L,L,10.78,1.00,0.00
,,,,,
,,,,,
M180,L,0,10.69,0.00,0.00
,,,,,
,,,,,
M181,R,0,10.22,0.00,0.00
,,,,,
,,,,,
M178,L,L,10.08,1.00,0.00
,,,,,
,,,,,
M188,L,0,9.85,0.00,0.00
,,,,,
,,,,,
M189,L,L,10.00,1.00,0.00
,,,,,
,,,,,
M183,L,0,9.43,0.00,0.00
,,,,,
,,,,,
M184,R,0,10.41,0.00,0.00
,,,,,
,,,,,
M195,L,L,10.28,1.00,0.00
,,,,,
,,,,,
M196,R,0,9.91,0.00,0.00
,,,,,
,,,,,
M194,R,R,10.23,1.00,0.00
,,,,,
,,,,,
M198,L,0,10.47,0.00,0.00
,,,,,
,,,,,
M185,L,0,10.07,0.00,0.00
,,,,,
,,,,,
M190,L,L,10.32,1.00,0.00
,,,,,
,,,,,
M199,L,0,11.13,0.00,0.00
,,,,,
,,,,,
M200,R,0,10.51,0.00,0.00
,,,,,
,,,,,
M201,L,0,10.90,0.00,0.00
,,,,,
,,,,,
M197,L,L,10.14,1.00,0.00
,,,,,
,,,,,
M187,L,0,10.35,0.00,0.00
,,,,,
,,,,,
M193,L,L,NA,1.00,0.00
,,,,,
,,,,,
M210,R,R,NA,1.00,0.00
,,,,,
,,,,,
M203,R,R,NA,1.00,0.00
,,,,,
,,,,,
M204,R,0,NA,0.00,0.00
,,,,,
,,,,,
M206,R,0,NA,0.00,0.00
,,,,,
,,,,,
M208,L,0,NA,0.00,0.00
,,,,,
,,,,,
M202,R,0,,0.00,0.00
,,,,,
,,,,,
M211,R,0,,0.00,0.00
