Exp ID,Trial,Latency,call_binary,Trial Duration (min)
,,,,
1,1,16,1,30
,,,,
1,2,11,1,30
,,,,
1,3,14,1,30
,,,,
1,4,16,1,30
,,,,
1,5,9,1,30
,,,,
1,6,11,1,30
,,,,
1,7,13,1,30
,,,,
1,8,NaN,0,30
,,,,
1,9,30,1,30
,,,,
1,10,11,1,30
,,,,
1,11,NaN,0,30
,,,,
1,12,26,1,30
,,,,
1,13,2,1,30
,,,,
1,14,11,1,30
,,,,
1,15,12,1,30
,,,,
1,16,NaN,0,30
,,,,
1,17,11,1,30
,,,,
1,18,11,1,30
,,,,
1,19,12,1,30
,,,,
1,20,21,1,30
,,,,
1,21,NaN,0,30
,,,,
1,22,18,1,30
,,,,
1,23,23,1,30
,,,,
1,24,11,1,30
,,,,
1,25,12,1,30
,,,,
1,26,NaN,0,30
,,,,
1,27,12,1,30
,,,,
1,28,16,1,30
,,,,
1,29,NaN,0,30
,,,,
1,30,15,1,30
,,,,
1,31,NaN,0,30
,,,,
1,32,NaN,0,30
,,,,
1,33,14,1,30
,,,,
1,34,26,1,30
,,,,
1,36,NaN,0,30
,,,,
1,37,NaN,0,30
,,,,
1,38,7,1,30
,,,,
1,39,13,1,30
,,,,
1,40,NaN,0,30
,,,,
1,41,11,1,30
,,,,
1,42,NaN,0,30
,,,,
1,43,12,1,30
,,,,
1,44,NaN,0,30
,,,,
1,45,14,1,30
,,,,
1,46,NaN,0,30
,,,,
1,47,6,1,30
,,,,
1,48,NaN,0,30
,,,,
1,49,NaN,0,30
,,,,
1,50,NaN,0,30
,,,,
1,51,28,1,30
,,,,
1,52,12,1,30
,,,,
1,53,17,1,30
,,,,
1,54,NaN,0,30
,,,,
1,55,NaN,0,30
,,,,
1,56,11,1,30
,,,,
1,57,11,1,30
,,,,
1,58,11,1,30
,,,,
1,59,15,1,30
,,,,
1,60,22,1,30
,,,,
1,61,11,1,30
,,,,
1,62,14,1,30
,,,,
1,63,NaN,0,30
